step,y0,y1,u,cycle_ms,w_sum,accept_num,x_hat_0,x_hat_1,x_hat_2,x_hat_3
0,2.359262451768116,-0.009203884727313927,89.798629003605,20.3113,128,128,2.2895713827660065,0.0310308233111765,27.15487259329811,0.9960047122057261
1,2.3071071049800045,0.03988350048502687,-36.119072146234544,17.9384,128,128,2.289502735210035,0.06690225550502094,106.59930878351503,87.17122216221709
2,2.132233295161041,-0.03067961575771294,8.4193309459552,15.5053,128,128,2.0968687990318973,0.0143056515004234,40.96183150505644,30.47311916174285
3,1.868388599644711,-0.1932815792735907,4.911656346609487,15.9485,128,128,1.845014135928734,-0.1644210937155417,34.47694387195668,28.354994796200103
4,1.6045439041283807,-0.3558835427894689,8.340867148994581,12.1806,128,128,1.5830560451190796,-0.3299075321847713,25.74594353555619,22.80330411059378
5,1.41126232485479,-0.46019423636569234,7.882795840623543,20.3479,128,128,1.392548298752649,-0.43823490257544856,23.212456778583714,22.012209908916887
6,1.337631247036279,-0.4786020058203202,6.688526254813885,9.1376,128,128,1.320983474340936,-0.4597846352476075,22.306010906388835,21.78027565181972
7,1.3836506706728484,-0.411106851153352,4.153425559391883,9.6502,128,128,1.369304815166994,-0.39542224663901054,22.14082306476414,21.642413619389973
8,1.5155730184310134,-0.27918450339518674,1.14961324548717,10.1451,128,128,1.503788998095081,-0.26656403788052824,21.000876708490612,20.36223441794875
9,1.684310905098434,-0.11965050145508016,-1.3856516378813244,14.0008,128,128,1.6751276586845463,-0.10991857934086996,18.170247318660127,17.522739398142647
10,1.8377089838869982,0.021475731030399015,-2.2785393905712725,8.9918,128,128,1.8305268885988957,0.029017441353487022,13.851314448468106,13.412709476555758
11,1.9174759848570515,0.09203884727313838,-0.8794854025025984,11.1044,128,128,1.9108885011993713,0.09894022673029965,9.098658627246772,9.079974544969765
12,1.9144080232812801,0.08590292412159606,1.399783789761917,8.9498,128,128,1.9075348299234642,0.09308775856128126,5.913482656814459,6.358670212475733
13,1.8530487917658545,0.024543692606170175,3.582852564493511,8.0079,128,128,1.8451804840855992,0.03272122248982129,4.87285514956705,5.661715468900297
14,1.7916895602504288,-0.0337475773334841,3.841563687974173,9.1332,128,128,1.7835440396633786,-0.02533033210277974,6.056727847590623,6.985816355558205
15,1.7886215986746576,-0.0337475773334841,1.6979182092321035,13.0559,128,128,1.7814310367609427,-0.026402992171752904,7.90529382372818,8.806527790594886
16,1.8561167533416258,0.0337475773334841,-1.0293018285280555,8.4499,128,128,1.8507020369353666,0.03914464596368125,8.263208003614551,9.104322934022784
17,1.966563370069392,0.1472621556370215,-3.8666861761840554,9.1099,128,128,1.96356848838398,0.15011803923548325,6.7556609598092345,7.686755931317995
18,2.0371264863121317,0.2270291566070748,-3.462284283430008,8.4455,128,128,2.035087405625665,0.22894584340644725,2.6348959523014983,3.9354936048275206
19,2.018718716857504,0.23316507975861755,-1.6819251523317906,16.9407,128,128,2.016770124091885,0.23511356520889964,-1.0809813924162948,0.784511163870336
20,1.9174759848570515,0.16566992509164935,1.2304327975093488,8.4104,128,128,1.9145171429349344,0.1686951908622067,-3.3114121719576293,-0.9257568295296197
